condition,lid,media,replicate,recording_start_time,LR_asym_pct,empty_baseline_LR_pct,deviation_from_empty_pct,deviation_z,is_outlier
off_5mM1,off,5mM,1.0,1778709482.3829553,5.748769118036062,20.43105220946896,-14.682283091432897,-2.0863278645934926,True
off_5mM2,off,5mM,2.0,1778709797.8733954,5.131149662673922,20.43105220946896,-15.299902546795037,-2.1740905559550945,True
off_5mM3,off,5mM,3.0,1778710046.1159954,27.0096217461237,20.43105220946896,6.57856953665474,0.9348037255525503,False
off_serum1,off,serum,1.0,1778710322.9707406,21.707424106127192,20.43105220946896,1.2763718966582331,0.18137031121106334,False
off_serum2,off,serum,2.0,1778710592.6248572,24.80839835832223,20.43105220946896,4.37734614885327,0.6220135646786736,False
off_serum3,off,serum,3.0,1778710925.9881518,21.17873345263206,20.43105220946896,0.7476812431631004,0.10624425382148399,False
off_100mM1,off,100mM,1.0,1778711205.412496,22.485095081977235,20.43105220946896,2.054042872508276,0.29187605587609244,False
off_100mM2,off,100mM,2.0,1778711477.2373412,22.270523787497346,20.43105220946896,1.8394715780283875,0.2613858338971619,False
off_100mM3,off,100mM,3.0,1778711719.366209,21.344562919379193,20.43105220946896,0.9135107099102342,0.12980834362214322,False
off_NO10_1,off,NO10,1.0,1778711969.6032555,23.436949870311587,20.43105220946896,3.0058976608426278,0.42713302889464566,False
off_NO10_2,off,NO10,2.0,1778712412.442982,24.343457088488375,20.43105220946896,3.912404879019416,0.555946188057945,False
off_empty,off,empty,,1778789822.1557577,20.463507178216304,20.43105220946896,0.03245496874734499,0.004611796763516062,False
on_5mM1,on,5mM,1.0,1778709328.586867,5.874282225820231,18.428026126926326,-12.553743901106095,-1.5048097051785958,True
on_5mM2,on,5mM,2.0,1778709657.3730724,5.071886881475082,18.428026126926326,-13.356139245451244,-1.6009923508556607,True
on_5mM3,on,5mM,3.0,1778709934.1661625,29.22625312534252,18.428026126926326,10.798226998416194,1.2943769535163547,False
on_serum1,on,serum,1.0,1778710209.9726412,26.027691401630527,18.428026126926326,7.599665274704201,0.9109672900429349,False
on_serum2,on,serum,2.0,1778710483.739959,25.605981409202883,18.428026126926326,7.177955282276557,0.8604171677547147,False
on_serum3,on,serum,3.0,1778710789.4461188,32.092190725537435,18.428026126926326,13.664164598611109,1.6379151640440983,True
on_100mM1,on,100mM,1.0,1778711087.357067,24.304306657973065,18.428026126926326,5.8762805310467385,0.7043862008919942,False
on_100mM2,on,100mM,2.0,1778711353.6940994,23.241318016606726,18.428026126926326,4.8132918896804,0.5769663939703524,False
on_100mM3,on,100mM,3.0,1778711607.8629837,23.836597384117276,18.428026126926326,5.40857125719095,0.6483221724997779,False
on_NO10_1,on,NO10,1.0,1778711865.6206355,24.82157801826149,18.428026126926326,6.393551891335164,0.7663912066739247,False
on_NO10_2,on,NO10,2.0,1778712270.2873964,24.240038804868473,18.428026126926326,5.812012677942146,0.6966824521263163,False
on_empty,on,empty,,1778789684.1139724,18.453718120810073,18.428026126926326,0.02569199388374699,0.0030796838015984354,False
