direction,n,intensity_mean_of_image_means,intensity_std_of_image_means,cv_of_image_means_pct,median_frac_saturated,median_frac_zero
bffull,24,45104.940355765335,2451.7669406150867,5.435694895673885,0.0,0.0
top,24,20989.8960875,1240.1346267518124,5.9082456701171715,0.0,0.0
left,24,22791.510276092304,1312.6309853475439,5.759297955451681,0.0,0.0
right,24,18491.933655360244,1483.5873238899858,8.022889069039783,0.0,0.0
bottom,24,19994.618476439526,1137.8926713586375,5.690994667887576,0.0,0.0
