set,n_conditions,dpc_x_mean_median,dpc_x_mean_abs_max,dpc_y_mean_median,dpc_y_mean_abs_max,dpc_x_std_cell_median,dpc_y_std_cell_median
caveat,4,-5.0495770859339804e-05,6.281016282013844e-05,2.274515913722369e-05,3.54906725660765e-05,0.027318654430828083,0.027057092036236317
empty,2,1.657598398130565e-05,1.7581620186595194e-05,5.2141781209796735e-06,5.393460868782677e-06,0.011844332465438995,0.011761314361686412
primary,18,2.6478182977185005e-05,0.0004924631858328649,1.2483719195096817e-05,3.3553414997221506e-05,0.025455242299195123,0.024448759411748656
