direction,intensity_off,intensity_on,intensity_diff_pct,F_corr_off_on,F_diff_std,F_diff_p99
bffull,50223.72214045171,50322.040989510075,0.19557034726819875,0.9903777656662671,0.0036525048781186342,0.009378790855407715
top,23568.056102246253,23568.457490664354,0.0017030891235060087,0.9847722608701288,0.00522653991356492,0.013950228691101074
bottom,22315.844252375387,22427.777095639158,0.5003298342490432,0.9883508600686445,0.004432756453752518,0.011633038520812988
left,25451.1458690498,25269.502039533694,-0.716252007835122,0.9690576821101136,0.005877973977476358,0.014806985855102539
right,20733.17455938847,21005.698973086986,1.3058541864407316,0.9888351620583815,0.005020870361477137,0.013051986694335938
