condition,set,alpha,phi_mean,phi_std,phi_p01,phi_p99,phi_min,phi_max,phi_bg_std,phi_cell_std
off_100mM1,primary,0.0001,2.6755861970428896e-09,0.23169571161270142,-0.559221625328064,0.5476871728897095,-4.599575519561768,4.850217342376709,0.17593589425086975,0.19709162414073944
off_100mM1,primary,0.001,2.9669866563608593e-10,0.15213340520858765,-0.360495388507843,0.3548465967178345,-3.6467416286468506,4.371008396148682,0.14415539801120758,0.1522272676229477
off_100mM1,primary,0.01,2.914004801346515e-11,0.07671304792165756,-0.15739765763282776,0.15770223736763,-2.5404436588287354,2.5267834663391113,0.0788004994392395,0.08213189989328384
off_100mM1,primary,0.1,5.298190705604888e-12,0.026324542239308357,-0.04987940564751625,0.05013693869113922,-0.9918431639671326,0.947171151638031,0.023996474221348763,0.024814952164888382
off_100mM1,primary,1.0,-2.4835268932522914e-13,0.006056152284145355,-0.012815524823963642,0.012832804583013058,-0.21640057861804962,0.20617638528347015,0.004567788448184729,0.004600516054779291
off_100mM2,primary,0.0001,-1.523229875566301e-10,0.21038655936717987,-0.4926418960094452,0.510732114315033,-3.0227062702178955,3.391904354095459,0.16304168105125427,0.14938263595104218
off_100mM2,primary,0.001,4.5398870773816213e-10,0.1304028034210205,-0.31862756609916687,0.3231140673160553,-2.906944990158081,3.0904359817504883,0.11843506246805191,0.1159730777144432
off_100mM2,primary,0.01,-2.9802321634825324e-12,0.06501571834087372,-0.14196301996707916,0.14351941645145416,-2.127509832382202,2.299010992050171,0.0644974634051323,0.06399045139551163
off_100mM2,primary,0.1,-4.056427069243362e-12,0.024854842573404312,-0.0528901107609272,0.05310947075486183,-0.9313950538635254,0.9497382640838623,0.021583398804068565,0.021565483883023262
off_100mM2,primary,1.0,-1.4487239533012009e-12,0.006397054065018892,-0.014565887860953808,0.014569352380931377,-0.19134941697120667,0.1928623467683792,0.004826090298593044,0.004805254749953747
off_100mM3,primary,0.0001,-2.4000803566792683e-09,0.5842839479446411,-2.037794589996338,2.065410614013672,-4.359462261199951,7.880699157714844,0.7136121988296509,0.551609456539154
off_100mM3,primary,0.001,1.7947621167024863e-10,0.19872082769870758,-0.6460606455802917,0.660845160484314,-2.9171481132507324,2.4898223876953125,0.21737144887447357,0.18287508189678192
off_100mM3,primary,0.01,-5.861123392181256e-11,0.059410132467746735,-0.15480905771255493,0.1624814122915268,-1.9963899850845337,1.5308586359024048,0.05295313894748688,0.05272411182522774
off_100mM3,primary,0.1,-1.6556845955015276e-13,0.020157460123300552,-0.04590066894888878,0.04601427540183067,-0.5465254783630371,0.45548340678215027,0.013722929172217846,0.013924594037234783
off_100mM3,primary,1.0,4.967053786504583e-13,0.005159865133464336,-0.012024509720504284,0.012036271393299103,-0.08578592538833618,0.07108898460865021,0.0028635261114686728,0.00285762595012784
off_5mM3,primary,0.0001,6.724728329743357e-09,0.30736202001571655,-0.7918686270713806,0.8236173987388611,-3.936493396759033,3.8325016498565674,0.22144842147827148,0.21565257012844086
off_5mM3,primary,0.001,-2.2517310932501644e-11,0.18435722589492798,-0.5068422555923462,0.4992387890815735,-3.6978890895843506,3.591930389404297,0.16940879821777344,0.16824373602867126
off_5mM3,primary,0.01,1.9205940657296416e-11,0.0940331444144249,-0.2077370584011078,0.21104370057582855,-2.7052667140960693,2.599043846130371,0.10033334791660309,0.0998416617512703
off_5mM3,primary,0.1,-3.4769377047633165e-12,0.033708930015563965,-0.0671302080154419,0.06761492043733597,-1.302815318107605,1.1017978191375732,0.03376490995287895,0.03367561846971512
off_5mM3,primary,1.0,1.0761950141810472e-12,0.007889728993177414,-0.01698584295809269,0.017022226005792618,-0.2800327241420746,0.2177971452474594,0.007044396363198757,0.006989010609686375
off_NO10_1,primary,0.0001,3.907415724313523e-09,0.25591662526130676,-0.632207989692688,0.7077084183692932,-3.4821736812591553,3.719106435775757,0.2062884420156479,0.1878637671470642
off_NO10_1,primary,0.001,6.139278529992964e-10,0.16065093874931335,-0.415873259305954,0.4373686909675598,-3.2527852058410645,3.3697097301483154,0.1511671543121338,0.14771854877471924
off_NO10_1,primary,0.01,4.3213366912597806e-11,0.07646993547677994,-0.1697854846715927,0.17221637070178986,-2.12729811668396,2.214783191680908,0.07753828912973404,0.07770048081874847
off_NO10_1,primary,0.1,1.883341139291561e-12,0.024601662531495094,-0.0506121888756752,0.05080629512667656,-0.7904224991798401,0.7670133709907532,0.021206136792898178,0.021199630573391914
off_NO10_1,primary,1.0,1.0141067673108406e-12,0.005708963610231876,-0.01265406422317028,0.01267571933567524,-0.17677468061447144,0.1587887555360794,0.0039090123027563095,0.00387976155616343
off_NO10_2,primary,0.0001,1.1417601308849612e-09,0.3418678641319275,-0.9505550265312195,0.9213759303092957,-3.4471046924591064,4.515420913696289,0.3161725699901581,0.2733614444732666
off_NO10_2,primary,0.001,-9.536742923144104e-11,0.16647978127002716,-0.47579488158226013,0.49379339814186096,-2.0805611610412598,2.5431137084960938,0.1479928195476532,0.14046071469783783
off_NO10_2,primary,0.01,5.82800960269303e-11,0.06495539098978043,-0.1675940603017807,0.16886024177074432,-1.1457914113998413,1.2395267486572266,0.05738463252782822,0.057405125349760056
off_NO10_2,primary,0.1,-8.278422977507638e-13,0.020483579486608505,-0.04862327501177788,0.048640113323926926,-0.292119562625885,0.31315872073173523,0.013133217580616474,0.013176782988011837
off_NO10_2,primary,1.0,-3.104408616565364e-14,0.005200664047151804,-0.012229454703629017,0.012226436287164688,-0.05042915418744087,0.05435418710112572,0.0027916529215872288,0.0027933241799473763
off_serum1,primary,0.0001,3.1193096994286407e-09,0.1890576034784317,-0.4537404477596283,0.4567212164402008,-2.84519624710083,2.8588449954986572,0.12896466255187988,0.12157829105854034
off_serum1,primary,0.001,4.1657025051655694e-10,0.11787218600511551,-0.29074230790138245,0.2922646105289459,-2.60382342338562,2.7962214946746826,0.10079701244831085,0.0946769118309021
off_serum1,primary,0.01,3.9239726051798485e-11,0.05969492346048355,-0.13602589070796967,0.13513250648975372,-1.849393367767334,2.1810128688812256,0.05723271891474724,0.05393468216061592
off_serum1,primary,0.1,2.773271629702423e-12,0.023731060326099396,-0.05068161338567734,0.050679635256528854,-0.771939754486084,0.8581535816192627,0.02012687176465988,0.019352499395608902
off_serum1,primary,1.0,-5.484455120954856e-13,0.006066096015274525,-0.01342004258185625,0.013439981266856194,-0.16351601481437683,0.19064052402973175,0.004473659209907055,0.004349351394921541
off_serum2,primary,0.0001,4.261069719291299e-09,0.21830350160598755,-0.5137238502502441,0.5226547122001648,-3.272315740585327,3.542144536972046,0.14419259130954742,0.14155049622058868
off_serum2,primary,0.001,5.35613942087565e-10,0.13474546372890472,-0.3221072256565094,0.3207821846008301,-3.0328638553619385,3.227149724960327,0.11172975599765778,0.11342139542102814
off_serum2,primary,0.01,1.812974596837602e-11,0.06900165230035782,-0.14974839985370636,0.14705012738704681,-2.5066072940826416,2.3613109588623047,0.06672932207584381,0.06850263476371765
off_serum2,primary,0.1,-1.8874804497137632e-11,0.027125466614961624,-0.05758024752140045,0.05735889449715614,-1.2575613260269165,1.010582447052002,0.02417624555528164,0.02463674359023571
off_serum2,primary,1.0,3.311369191003055e-13,0.0068198139779269695,-0.015486778691411018,0.015451817773282528,-0.24577438831329346,0.22117142379283905,0.005371164996176958,0.005375418812036514
off_serum3,primary,0.0001,1.4702479511630173e-10,0.381064772605896,-1.0757360458374023,1.1058924198150635,-3.321863889694214,3.6943271160125732,0.294701486825943,0.2856677174568176
off_serum3,primary,0.001,-5.980332895560991e-10,0.22914405167102814,-0.6375197172164917,0.6531916856765747,-2.5185132026672363,2.7041773796081543,0.17757980525493622,0.1723279058933258
off_serum3,primary,0.01,4.702144229540295e-11,0.10258286446332932,-0.2554011642932892,0.2553035318851471,-1.5641815662384033,1.8827848434448242,0.07464797794818878,0.07433808594942093
off_serum3,primary,0.1,-2.3179583252819214e-12,0.04294295236468315,-0.10674746334552765,0.10670673847198486,-0.5647526979446411,0.7083990573883057,0.027704598382115364,0.027637287974357605
off_serum3,primary,1.0,3.1458006772427938e-12,0.009148490615189075,-0.022293074056506157,0.022293364629149437,-0.14246433973312378,0.13702592253684998,0.005575448274612427,0.005547738634049892
on_100mM1,primary,0.0001,3.6478042808596456e-09,0.36832013726234436,-0.8229039907455444,0.8434513211250305,-9.449173927307129,8.371771812438965,0.2674757242202759,0.2704215347766876
on_100mM1,primary,0.001,7.099575372038203e-10,0.18502701818943024,-0.39241933822631836,0.3891497254371643,-6.58613395690918,6.823805809020996,0.17826440930366516,0.17268376052379608
on_100mM1,primary,0.01,-2.914004801346515e-11,0.08260732144117355,-0.1612732708454132,0.1568365842103958,-3.125481128692627,3.8065364360809326,0.08769924193620682,0.08617649227380753
on_100mM1,primary,0.1,2.400742582162052e-12,0.027149619534611702,-0.0502844899892807,0.05010700970888138,-1.2674379348754883,1.4479193687438965,0.025196056813001633,0.025164838880300522
on_100mM1,primary,1.0,1.0348028857409819e-12,0.006151987239718437,-0.013125954195857048,0.013118455186486244,-0.23684997856616974,0.2759282886981964,0.004497244954109192,0.004494456574320793
on_100mM2,primary,0.0001,-4.100799699813251e-09,0.554367184638977,-1.2837283611297607,1.3139628171920776,-3.501654863357544,3.6124794483184814,0.29328784346580505,0.29295870661735535
on_100mM2,primary,0.001,-1.1351373174761648e-09,0.1842758059501648,-0.41922083497047424,0.43008825182914734,-2.9097509384155273,2.8218350410461426,0.12280114740133286,0.12467879801988602
