condition,lid,media,replicate,set,n_cells,bg_phi,median_area_um2,median_dry_mass_pg_exploratory,mean_dry_mass_pg_exploratory,total_dry_mass_pg_exploratory,seg_threshold,n_components_raw,n_components_kept
off_5mM1,off,5mM,1,caveat,716,3.926436329493299e-05,66.54375000000002,-139.57851144429628,-41.06230578348064,-29400.61094097214,0.11912549762427807,964,716
off_5mM2,off,5mM,2,caveat,928,1.8475850083632395e-05,95.06250000000001,-112.96262261710697,-25.994849926391087,-24123.22073169093,0.08528060537949204,1084,928
on_5mM1,on,5mM,1,caveat,712,-2.0694733393611386e-06,66.75500000000001,-120.04369488511159,-3.4494993006489794,-2456.0435020620735,0.12109014372900127,948,712
on_5mM2,on,5mM,2,caveat,958,1.7123222278314643e-05,80.48625000000001,-80.86150854929824,1.9063040277904422,1826.2392586232436,0.09634194654040039,1106,958
